lat,lng,violationdescription
40.003075,-75.100298,VACANT PROP STANDARD
40.028112,-75.078831,HIGH WEEDS-CUT
40.027989,-75.078418,CLIP VIOLATION NOTICE
40.028682,-75.078312,CLIP VIOLATION NOTICE
40.028818,-75.078182,CLIP VIOLATION NOTICE
40.002886,-75.100122,LICENSE-VAC RES BLDG
40.003012,-75.099831,LICENSE-VAC RES BLDG
40.002798,-75.100023,PERMP- ALTER/REPAIR/REPL PLUMB
40.007816,-75.135968,"INT A-EXTERMINATE, TENANT"
40.007816,-75.135968,KITCHEN STOVE REPR/REPLC-NR
40.007823,-75.136016,EXT S-WINDOW REPAIR/MAINTAIN
40.011261,-75.160159,EXTERIOR AREA RODENT HARBORAGE
40.024169,-75.082809,VACANT PROP STANDARD
40.024049,-75.082282,LICENSE - RENTAL PROPERTY
40.024049,-75.082282,HIGH WEEDS-CUT
40.024049,-75.082282,CLIP VIOLATION NOTICE
40.024154,-75.082177,RUBBISH/GARBAGE EXTERIOR-OWNER
39.92379,-75.240863,INT S-FLOOR REPAIR
39.923762,-75.240828,LICENSE-RES GENERAL
39.923302,-75.240806,VACANT STRUCTURE LICENSE
40.011269,-75.160216,CLIP VIOLATION NOTICE
40.011269,-75.160216,EXT A-VACANT LOT CLEAN/MAINTAI
40.011269,-75.160216,CLIP VIOLATION NOTICE
40.029523,-75.077516,CLIP VIOLATION NOTICE
40.029369,-75.077131,LICENSE - RENTAL PROPERTY
40.036625,-75.070826,LICENSE - RENTAL PROPERTY
40.036625,-75.070826,HIGH WEEDS-CUT
40.07333,-75.051674,CLIP VIOLATION NOTICE
40.073513,-75.051489,CLIP VIOLATION NOTICE
40.074128,-75.051211,HIGH WEEDS-CUT
40.023868,-75.08246,HIGH WEEDS-CUT
40.02394,-75.08239,HIGH WEEDS-CUT
40.02394,-75.08239,CLIP VIOLATION NOTICE
40.02394,-75.08239,EXT A-CLEAN WEEDS/PLANTS
40.026508,-75.129511,EXT S-WINDOW REPAIR/REPLACE
40.024601,-75.082384,RUBBISH/GARBAGE EXTERIOR-OWNER
40.024966,-75.082031,RUBBISH/GARBAGE EXTERIOR-OWNER
40.024966,-75.082031,VACANT PROP STANDARD
40.038696,-75.068194,DRAINAGE-YARD DRAIN REPAIR
39.988808,-75.107734,EXT S-WINDOW REPAIR/MAINTAIN
39.988918,-75.107527,WALL PARTIALLY COLLAPSED
39.923243,-75.240737,VACANT BLDG UNSECURED COUNT
40.014628,-75.186706,LICENSE-RES GENERAL
40.042707,-75.086881,RUBBISH/GARBAGE EXTERIOR-OWNER
40.042707,-75.086881,CLIP VIOLATION NOTICE
40.026071,-75.128443,ELEC-RECEPTABLE DEFECTIVE-RES
40.026071,-75.128443,LIGHT FIXTURE DEFECTIVE-RES
40.026071,-75.128443,ELEC-FAC MEET ELEC CODE-RES
40.026071,-75.128443,UNFIT PROP STANDARD
40.026359,-75.128379,FLOOR/CEILING FIRE DAMAGED
40.026359,-75.128379,ROOF FIRE DAMAGED
40.026366,-75.128429,ROOF PARTIALLY COLLAPSED
39.987923,-75.124953,LICENSE-VAC LOT
39.987923,-75.124953,CLIP VIOLATION NOTICE
39.977408,-75.116124,PERMB- ALTER REPAIR INT PART
39.977327,-75.116451,WORKMANLIKE- BUILDING CODE
